h3_index,city,service_count,Culture,Education,Financial,Food,Food Retail,Health,Professional Services,Public Services,Public Utilities,Recreation,Religion,Retail,Security,Services,Sports,Tourism,Transportation,lat,lng
8a1f9941334ffff,Pavia,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,45.18578665942688,9.163942341164473
8a1f9941310ffff,Pavia,10,0,0,1,5,2,0,0,0,2,0,0,0,0,0,0,0,0,45.18692672262312,9.147998602398426
8a1f9941a80ffff,Pavia,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,45.178168532678335,9.196441968468628
8a1f99413ab7fff,Pavia,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,45.18824853251285,9.153655535356766
8a1f9941170ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.19932862960989,9.164648153044876
8a1f99413bb7fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.190695431897204,9.151115474707375
8a1f9941034ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.202914401436246,9.146161141629932
8a1f9941a9a7fff,Pavia,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.179071390200825,9.18988407175566
8a1f99413aeffff,Pavia,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,45.189344939672374,9.160952320752145
8a1f9941e42ffff,Pavia,4,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,45.1824378884313,9.173039695031646
8a1f9941e657fff,Pavia,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,45.179522662832696,9.186605157271755
8a1f994130affff,Pavia,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,45.18270787171931,9.148160616219476
8a1f994132c7fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.180681687386816,9.162914326271082
8a1f9941384ffff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19269222871889,9.151854288830389
8a1f99418ae7fff,Pavia,4,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,45.19565197954899,9.221883561994707
8a1f9941316ffff,Pavia,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18847357815573,9.152016115017705
8a1f99413a0ffff,Pavia,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.19068105953731,9.158862594344358
8a1f99410337fff,Pavia,12,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,45.20292765001271,9.138413384161368
8a1f99413acffff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18823393542458,9.161402527346414
8a1f994acb57fff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.172722582853275,9.144467938396206
8a1f99413057fff,Pavia,8,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,2,45.18425474187604,9.152177924332875
8a1f9941a207fff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1690327508363,9.2094260952626
8a1f99413a87fff,Pavia,13,0,0,1,2,1,0,1,1,0,5,0,0,0,0,0,0,2,45.18802346085271,9.155294961402308
8a1f994133a7fff,Pavia,8,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,45.18380456200489,9.155456600352009
8a1f994115affff,Pavia,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19913233022704,9.150791703383215
8a1f99411387fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.20287150884283,9.169406395337807
8a1f994130dffff,Pavia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.181146763843294,9.151889453321235
8a1f9941391ffff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.19381691022312,9.143656846882163
8a1f994117b7fff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1968964165127,9.1594401903343
8a1f99402127fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.22861368585781,9.172911138394834
8a1f99402187fff,Pavia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.2246214129209,9.171431666843974
8a1f99413917fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.19404176846969,9.142017375651658
8a1f994110affff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.20288633091831,9.16165764748043
8a1f9941130ffff,Pavia,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45.20552851568692,9.172975435204895
8a1f994130d7fff,Pavia,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,45.181371831718295,9.150250189180351
8a1f99413a2ffff,Pavia,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19179201517269,9.158412345184527
8a1f99413cc7fff,Pavia,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,45.18383261921168,9.139964310517724
8a1f99413cf7fff,Pavia,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,45.18405749067413,9.138325066549974
8a1f9941ab9ffff,Pavia,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.17526822642062,9.202259801288223
8a1f99413337fff,Pavia,8,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,45.18580148123411,9.156195476849165
8a1f99413307fff,Pavia,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,45.185576354907546,9.157834868856076
8a1f99413d5ffff,Pavia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.18805131363207,9.13980187083086
8a1f9941e437fff,Pavia,13,1,0,0,5,3,0,0,0,1,2,0,0,0,1,0,0,0,45.18177746478895,9.170210924427662
8a1f9941e477fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.182212487603486,9.17467912403354
8a1f994f492ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.16458625122353,9.21122419603291
8a1f9941338ffff,Pavia,11,0,1,0,2,3,1,1,0,2,0,0,0,0,1,0,0,0,45.182468383240646,9.157546164935338
8a1f9941394ffff,Pavia,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,45.195138933629536,9.149314057923084
8a1f9941330ffff,Pavia,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,45.185351202564085,9.159474266562404
8a1f9941eadffff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.1903927295136,9.191494070337049
8a1f9941a857fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.17794275324215,9.198081456744958
8a1f99413147fff,Pavia,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45.187587659520254,9.150827023392477
8a1f9941ea77fff,Pavia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.1946118130897,9.191334281118133
8a1f99413037fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18492981657216,9.147259953122761
8a1f9941378ffff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.17626671326322,9.149223179842323
8a1f99413d77fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18938699457433,9.137712071117823
8a1f99413287fff,Pavia,5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,45.1802462322089,9.158446566941066
8a1f99413b97fff,Pavia,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.189584513598874,9.151565800535721
8a1f99412a6ffff,Pavia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18917525429673,9.131605282478203
8a1f994132effff,Pavia,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,45.18156754995578,9.164103528686846
8a1f9941e99ffff,Pavia,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.193983883846926,9.173007569739196
8a1f99413267fff,Pavia,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45.18467558942936,9.164392493851237
8a1f9941064ffff,Pavia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.194266600698825,9.140377910147059
8a1f99413d47fff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1891621687444,9.139351420117565
8a1f994133b7fff,Pavia,17,0,0,0,9,3,1,0,0,0,0,0,0,0,2,0,2,0,45.18291864379058,9.154267517245481
8a1f99411a37fff,Pavia,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,45.21130782578905,9.169084466221488
8a1f99413baffff,Pavia,4,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,45.19135630170216,9.153944103140462
8a1f99413367fff,Pavia,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18712291403369,9.161852722595997
8a1f9941ed97fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18800874799677,9.163042001759603
8a1f9941308ffff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.181596873580425,9.148610930750383
8a1f99413af7fff,Pavia,7,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,45.188684232222975,9.158123595604934
8a1f99410047fff,Pavia,23,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,1,45.20226641265938,9.135584719419105
8a1f9941e627fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.181085093169294,9.182876354069476
8a1f99413047fff,Pavia,12,1,0,1,6,1,1,0,0,1,0,1,0,0,0,0,0,0,45.18514066896391,9.153366990389323
8a1f99413777fff,Pavia,5,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,45.18003571991342,9.152339716778512
8a1f9941312ffff,Pavia,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45.18803764937548,9.147548251005343
8a1f99413aaffff,Pavia,12,1,0,5,2,0,0,0,0,3,1,0,0,0,0,0,0,0,45.18890934159413,9.156484138281908
8a1f9941e71ffff,Pavia,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,45.18131062409643,9.18123689673426
8a1f99413837fff,Pavia,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,45.192706083527604,9.144107274878351
8a1f9940254ffff,Pavia,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,45.2215145672709,9.171142273683058
8a1f9941e4affff,Pavia,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.17955511889101,9.171111031149431
